candidate_id,rank,score,reasoning
CAND_0018499,1,0.8308,"Senior Machine Learning Engineer at Zomato with 7 years experience. strong embeddings, pinecone, milvus, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0039754,2,0.8094,"Senior Applied Scientist at Meta with 16 years experience. strong python, elasticsearch, llms, qdrant background relevant to JD requirements. strong senior-level experience (16yr). consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0081846,3,0.8034,"Lead AI Engineer at Razorpay with 7 years experience. strong elasticsearch, python, embeddings, qdrant background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0046064,4,0.7918,"Senior NLP Engineer at Salesforce with 9 years experience. strong python, elasticsearch, pinecone, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0083307,5,0.7871,"Search Engineer at CRED with 8 years experience. strong python, embeddings, pinecone, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0068811,6,0.7809,"Applied ML Engineer at Freshworks with 8 years experience. strong embeddings, qdrant, pinecone, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0037566,7,0.7748,"Machine Learning Engineer at LinkedIn with 7 years experience. strong lora, elasticsearch, llms, pinecone background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0088025,8,0.7666,"Staff Machine Learning Engineer at Yellow.ai with 9 years experience. strong python, lora, elasticsearch, llms background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0039383,9,0.7639,"Applied ML Engineer at Meesho with 7 years experience. strong elasticsearch, faiss, lora, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0086022,10,0.7631,"Senior Applied Scientist at Sarvam AI with 5 years experience. strong embeddings, lora, elasticsearch, pinecone background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0072660,11,0.761,"Machine Learning Engineer at Unacademy with 7 years experience. strong python, lora, elasticsearch, opensearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0055992,12,0.7576,"AI Engineer at CRED with 17 years experience. strong opensearch, faiss, embeddings, milvus background relevant to JD requirements. strong senior-level experience (17yr). consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0086151,13,0.7472,"Recommendation Systems Engineer at Wysa with 8 years experience. strong embeddings, lora, elasticsearch, qdrant background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (94/100)."
CAND_0013536,14,0.742,"Applied ML Engineer at Haptik with 14 years experience. strong embeddings, elasticsearch, llms, pinecone background relevant to JD requirements. strong senior-level experience (14yr). consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience."
CAND_0050454,15,0.7362,"AI Engineer at Rephrase.ai with 7 years experience. strong lora, qdrant, llms, faiss background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0077337,16,0.7347,"Staff Machine Learning Engineer at Paytm with 7 years experience. strong python, llms, qdrant, pinecone background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0041669,17,0.7343,"Recommendation Systems Engineer at CRED with 8 years experience. strong qdrant, peft, milvus, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0015528,18,0.7316,"Applied ML Engineer at Krutrim with 7 years experience. strong opensearch, faiss, lora, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (92/100)."
CAND_0027691,19,0.7282,"NLP Engineer at Haptik with 6 years experience. strong python, embeddings, lora, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0093331,20,0.727,"NLP Engineer at Genpact AI with 16 years experience. strong peft, embeddings, milvus, qlora background relevant to JD requirements. strong senior-level experience (16yr). consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0051292,21,0.7252,"Applied ML Engineer at Freshworks with 5 years experience. strong elasticsearch, faiss, llms, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0060072,22,0.7234,"Staff Machine Learning Engineer at Amazon with 6 years experience. strong pinecone, qdrant, embeddings, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (61/100)."
CAND_0041610,23,0.7228,"Recommendation Systems Engineer at Zoho with 7 years experience. strong elasticsearch, opensearch, embeddings, lora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0098846,24,0.722,"AI Engineer at upGrad with 8 years experience. strong qdrant, peft, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0027801,25,0.7209,"NLP Engineer at InMobi with 7 years experience. strong opensearch, faiss, milvus, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0080766,26,0.7191,"Staff Machine Learning Engineer at Salesforce with 9 years experience. strong python, lora, elasticsearch, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0005260,27,0.719,"Senior NLP Engineer at Netflix with 5 years experience. strong python, embeddings, lora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0094759,28,0.719,"Lead AI Engineer at Meta with 9 years experience. strong faiss, qdrant, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (82/100)."
CAND_0070398,29,0.7181,"Machine Learning Engineer at Genpact AI with 7 years experience. strong faiss, python, embeddings, lora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (91/100)."
CAND_0033861,30,0.7178,"Senior NLP Engineer at Mad Street Den with 8 years experience. strong lora, elasticsearch, llms, qdrant background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (85/100)."
CAND_0062247,31,0.7176,"AI Engineer at Google with 7 years experience. strong pinecone, qdrant, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0040117,32,0.716,"Recommendation Systems Engineer at PhonePe with 6 years experience. strong faiss, embeddings, lora, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0049538,33,0.7155,"Applied ML Engineer at Saarthi.ai with 6 years experience. strong embeddings, elasticsearch, llms, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0028793,34,0.7152,"Search Engineer at Google with 7 years experience. strong peft, embeddings, lora, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0016163,35,0.7137,"Applied ML Engineer at Dream11 with 7 years experience. strong pinecone, embeddings, lora, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0006557,36,0.7135,"NLP Engineer at Paytm with 8 years experience. strong lora, elasticsearch, qdrant, pinecone background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0011162,37,0.7124,"Recommendation Systems Engineer at upGrad with 6 years experience. strong python, embeddings, lora, pinecone background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0044222,38,0.7098,"AI Engineer at PolicyBazaar with 8 years experience. strong opensearch, qdrant, weaviate, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0001218,39,0.7088,"AI Specialist at Nykaa with 6 years experience. strong opensearch, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (86/100)."
CAND_0041568,40,0.708,"Search Engineer at Haptik with 5 years experience. strong pinecone, qdrant, peft, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (90/100)."
CAND_0030953,41,0.7055,"Search Engineer at Nykaa with 8 years experience. strong python, qdrant, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0025293,42,0.7041,Data Scientist at Mad Street Den with 6 years experience. strong milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (89/100).
CAND_0095619,43,0.7039,"NLP Engineer at Nykaa with 16 years experience. strong elasticsearch, pinecone, weaviate background relevant to JD requirements. strong senior-level experience (16yr). consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience."
CAND_0081778,44,0.7031,Data Scientist at Sarvam AI with 6 years experience. strong qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100).
CAND_0043318,45,0.7013,"Data Scientist at Freshworks with 6 years experience. strong peft, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (93/100)."
CAND_0008425,46,0.7011,"Senior NLP Engineer at Ola with 8 years experience. strong python, qdrant, lora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0018549,47,0.6997,"Recommendation Systems Engineer at Uber with 7 years experience. strong elasticsearch, qdrant, milvus, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0061265,48,0.699,"Recommendation Systems Engineer at Zoho with 7 years experience. strong milvus, embeddings, qdrant, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0026532,49,0.6969,"Recommendation Systems Engineer at Zomato with 5 years experience. strong embeddings, lora, pinecone, milvus background relevant to JD requirements. experience (5yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0081686,50,0.6952,"Search Engineer at Netflix with 6 years experience. strong python, embeddings, llms, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0045250,51,0.6931,"Applied ML Engineer at Rephrase.ai with 7 years experience. strong embeddings, lora, qdrant, llms background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0097800,52,0.6921,"Backend Engineer at PharmEasy with 8 years experience. strong faiss, qlora background relevant to JD requirements. consistent technical career in AI/ML. exceptional recruiter engagement (81/100). education: M.S. in Chemical Engineering."
CAND_0008295,53,0.692,"AI Research Engineer at Razorpay with 6 years experience. strong python, qlora, peft, weaviate background relevant to JD requirements. consistent technical career in AI/ML. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0014440,54,0.6902,"Recommendation Systems Engineer at CRED with 6 years experience. strong elasticsearch, faiss, qdrant, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0011432,55,0.6865,"Senior Data Scientist at Amazon with 8 years experience. strong elasticsearch, opensearch, peft, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0040887,56,0.6861,"Machine Learning Engineer at Netflix with 5 years experience. strong python, lora, peft, milvus background relevant to JD requirements. experience (5yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0076251,57,0.6855,"Search Engineer at Haptik with 8 years experience. strong elasticsearch, peft, llms, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0067643,58,0.6843,"AI Research Engineer at PhonePe with 6 years experience. strong elasticsearch, qdrant, lora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (82/100)."
CAND_0070485,59,0.6829,"Search Engineer at Saarthi.ai with 6 years experience. strong faiss, peft, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (99/100)."
CAND_0071974,60,0.6826,"Senior AI Engineer at Netflix with 8 years experience. strong embeddings, lora, elasticsearch, qdrant background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0010257,61,0.6805,"Senior Data Scientist at Google with 6 years experience. strong opensearch, python, qdrant, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0087630,62,0.6805,"AI Engineer at Vedantu with 7 years experience. strong elasticsearch, opensearch, embeddings, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0005649,63,0.679,"Senior Data Scientist at Sarvam AI with 7 years experience. strong weaviate, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0039838,64,0.6782,"Recommendation Systems Engineer at Amazon with 5 years experience. strong embeddings, lora, milvus, opensearch background relevant to JD requirements. experience (5yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience."
CAND_0058688,65,0.6775,"AI Engineer at Vedantu with 7 years experience. strong embeddings, milvus, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0045613,66,0.6765,"Computer Vision Engineer at Saarthi.ai with 5 years experience. strong pinecone, embeddings, peft, qdrant background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (87/100)."
CAND_0044855,67,0.6756,"Senior Data Scientist at Flipkart with 7 years experience. strong embeddings, qdrant, pinecone, opensearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0078002,68,0.6748,"Machine Learning Engineer at Meta with 6 years experience. strong weaviate, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0006850,69,0.6737,"Data Scientist at Yellow.ai with 4 years experience. strong elasticsearch, opensearch, python, qlora background relevant to JD requirements. experience (4yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0076163,70,0.6735,"NLP Engineer at Ola with 7 years experience. strong elasticsearch, opensearch, python, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0041611,71,0.6724,"Staff Machine Learning Engineer at Locobuzz with 6 years experience. strong opensearch, qdrant, weaviate, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (70/100)."
CAND_0032515,72,0.6705,"Machine Learning Engineer at PharmEasy with 5 years experience. strong elasticsearch, milvus, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0066376,73,0.6704,"Applied ML Engineer at Dream11 with 6 years experience. strong faiss, llms, lora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (91/100)."
CAND_0094056,74,0.67,"NLP Engineer at Rephrase.ai with 6 years experience. strong pinecone, embeddings, peft, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (77/100)."
CAND_0066999,75,0.6669,"Recommendation Systems Engineer at Microsoft with 6 years experience. strong embeddings, llms, pinecone, opensearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0030318,76,0.6659,"Data Engineer at Tech Mahindra with 6 years experience. strong faiss, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. exceptional recruiter engagement (86/100). education: M.E. in Machine Learning."
CAND_0082489,77,0.6625,"ML Engineer at InMobi with 5 years experience. strong peft, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (83/100)."
CAND_0002025,78,0.6609,"Senior AI Engineer at Apple with 6 years experience. strong python, pinecone, weaviate, opensearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0091909,79,0.6589,"Machine Learning Engineer at Rephrase.ai with 7 years experience. strong llms, qdrant, pinecone, opensearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0051004,80,0.6576,"Senior Data Scientist at CRED with 5 years experience. strong peft, qdrant, embeddings, lora background relevant to JD requirements. experience (5yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience."
CAND_0015967,81,0.6551,"Senior Software Engineer (ML) at Razorpay with 5 years experience. strong pinecone, embeddings, qlora, llms background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (94/100)."
CAND_0035764,82,0.6548,"Senior Software Engineer (ML) at Zomato with 7 years experience. strong elasticsearch, weaviate, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (93/100)."
CAND_0079387,83,0.6542,"AI Engineer at Microsoft with 7 years experience. strong opensearch, python, lora, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0012957,84,0.6537,"Search Engineer at Razorpay with 5 years experience. strong peft, python, embeddings, qdrant background relevant to JD requirements. experience (5yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0065878,85,0.6532,Senior Data Scientist at Niramai with 8 years experience. strong qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100).
CAND_0061655,86,0.6526,"Machine Learning Engineer at Krutrim with 5 years experience. strong elasticsearch, qdrant, pinecone, peft background relevant to JD requirements. experience (5yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0029367,87,0.6524,"Senior Data Scientist at Rephrase.ai with 6 years experience. strong pinecone, faiss, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (97/100)."
CAND_0092568,88,0.6516,"AI Specialist at TCS with 6 years experience. strong pinecone, python, milvus background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (96/100)."
CAND_0051630,89,0.6508,"Machine Learning Engineer at Razorpay with 6 years experience. strong python, embeddings, lora, elasticsearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (78/100)."
CAND_0015478,90,0.6503,"ML Engineer at Tech Mahindra with 4 years experience. strong pinecone, weaviate, qlora background relevant to JD requirements. experience (4yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0036437,91,0.6473,"Search Engineer at Rephrase.ai with 5 years experience. strong elasticsearch, milvus, weaviate, opensearch background relevant to JD requirements. experience (5yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience."
CAND_0004112,92,0.6464,"Senior Software Engineer (ML) at Zoho with 6 years experience. strong embeddings, lora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (76/100)."
CAND_0052027,93,0.6464,"AI Research Engineer at Glance with 4 years experience. strong milvus, weaviate background relevant to JD requirements. experience (4yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. exceptional recruiter engagement (100/100)."
CAND_0018888,94,0.6462,"AI Research Engineer at Razorpay with 6 years experience. strong llms, faiss background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0050876,95,0.6445,"Applied ML Engineer at Freshworks with 6 years experience. strong python, qdrant, opensearch, faiss background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0004402,96,0.6442,"AI Research Engineer at Yellow.ai with 6 years experience. strong opensearch, qdrant, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0047721,97,0.6441,"Senior Data Scientist at Microsoft with 7 years experience. strong milvus, qdrant, faiss background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (91/100)."
CAND_0046095,98,0.644,"ML Engineer at Rephrase.ai with 4 years experience. strong elasticsearch, faiss, peft background relevant to JD requirements. experience (4yr) at lower end but skills relevant. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience."
CAND_0011687,99,0.6437,"Senior NLP Engineer at Niramai with 8 years experience. strong embeddings, peft, weaviate, opensearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0068351,100,0.6427,"Lead AI Engineer at Sarvam AI with 6 years experience. strong python, lora, elasticsearch, qdrant background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
